Tokens.txt opening....
Reading in File Data.......
File 1 tokens: 239, k-gram hashes: 236, fingerprints: 85
File 2 tokens: 294, k-gram hashes: 291, fingerprints: 102
File 3 tokens: 291, k-gram hashes: 288, fingerprints: 104
File 4 tokens: 288, k-gram hashes: 285, fingerprints: 104
File 5 tokens: 329, k-gram hashes: 326, fingerprints: 117
File 6 tokens: 264, k-gram hashes: 261, fingerprints: 94
File 7 tokens: 271, k-gram hashes: 268, fingerprints: 94
File 8 tokens: 268, k-gram hashes: 265, fingerprints: 97
File 9 tokens: 291, k-gram hashes: 288, fingerprints: 104
File 10 tokens: 331, k-gram hashes: 328, fingerprints: 124
File 11 tokens: 298, k-gram hashes: 295, fingerprints: 111
File 12 tokens: 257, k-gram hashes: 254, fingerprints: 92
File 13 tokens: 266, k-gram hashes: 263, fingerprints: 94
File 14 tokens: 361, k-gram hashes: 358, fingerprints: 134
File 15 tokens: 247, k-gram hashes: 244, fingerprints: 91
File 16 tokens: 329, k-gram hashes: 326, fingerprints: 134
File 17 tokens: 216, k-gram hashes: 213, fingerprints: 77
File 18 tokens: 355, k-gram hashes: 352, fingerprints: 129
File 19 tokens: 361, k-gram hashes: 358, fingerprints: 132
File 20 tokens: 330, k-gram hashes: 327, fingerprints: 124
File 21 tokens: 348, k-gram hashes: 345, fingerprints: 132
File 22 tokens: 252, k-gram hashes: 249, fingerprints: 93
File 23 tokens: 255, k-gram hashes: 252, fingerprints: 92
File 24 tokens: 261, k-gram hashes: 258, fingerprints: 92
File 25 tokens: 275, k-gram hashes: 272, fingerprints: 98
File 26 tokens: 288, k-gram hashes: 285, fingerprints: 105
File 27 tokens: 195, k-gram hashes: 192, fingerprints: 83
File 28 tokens: 289, k-gram hashes: 286, fingerprints: 103
File 29 tokens: 260, k-gram hashes: 257, fingerprints: 92
File 30 tokens: 329, k-gram hashes: 326, fingerprints: 123
File 31 tokens: 307, k-gram hashes: 304, fingerprints: 108
File 32 tokens: 273, k-gram hashes: 270, fingerprints: 96
File 33 tokens: 322, k-gram hashes: 319, fingerprints: 115
File 34 tokens: 235, k-gram hashes: 232, fingerprints: 83
File 35 tokens: 361, k-gram hashes: 358, fingerprints: 134
File 36 tokens: 266, k-gram hashes: 263, fingerprints: 94
File 37 tokens: 285, k-gram hashes: 282, fingerprints: 106
File 38 tokens: 306, k-gram hashes: 303, fingerprints: 117
File 39 tokens: 362, k-gram hashes: 359, fingerprints: 134
File 40 tokens: 324, k-gram hashes: 321, fingerprints: 115
File 41 tokens: 360, k-gram hashes: 357, fingerprints: 134
File 42 tokens: 299, k-gram hashes: 296, fingerprints: 106
File 43 tokens: 345, k-gram hashes: 342, fingerprints: 128
File 44 tokens: 164, k-gram hashes: 161, fingerprints: 95
File 45 tokens: 274, k-gram hashes: 271, fingerprints: 100
File 46 tokens: 279, k-gram hashes: 276, fingerprints: 104
File 47 tokens: 256, k-gram hashes: 253, fingerprints: 91
File 48 tokens: 260, k-gram hashes: 257, fingerprints: 91
File 49 tokens: 255, k-gram hashes: 252, fingerprints: 91
File 50 tokens: 255, k-gram hashes: 252, fingerprints: 94
File 51 tokens: 156, k-gram hashes: 153, fingerprints: 69
File 52 tokens: 327, k-gram hashes: 324, fingerprints: 122
File 53 tokens: 291, k-gram hashes: 288, fingerprints: 104
File 54 tokens: 291, k-gram hashes: 288, fingerprints: 104
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                   1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54
        11     38.71     41.67     47.46     39.34     48.39     35.94     40.32     39.06     47.46     43.48        --     39.68     37.88     40.85     35.38     13.19     35.94     47.62     34.29     42.25     31.94     33.33     37.10     39.34     45.00     39.68     24.19     36.92     36.51     42.03     43.86     44.07     43.94     32.79     35.21     47.37     40.62     29.33     34.29     40.32     40.00     42.65     30.99      1.16     38.71     45.90     35.94     36.51     37.50     30.30     14.10     34.21     47.46     47.46
        12     44.00     51.06     52.08     47.92     47.17     46.00     65.91     63.04     52.08     37.10     39.68        --     50.98     45.76     57.45     20.27     55.32     46.30     42.86     40.32     47.27     54.17     57.78     65.12     46.00     45.10     26.00     44.23     44.00     37.70     44.68     54.35     58.82     42.55     38.98     45.83     43.40     43.10     40.35     48.98     37.70     50.91     49.06      0.00     35.85     50.00     55.32     46.94     54.17     46.94      7.14     37.50     52.08     52.08
        13     56.25     45.10     52.00     57.45     44.64     72.73     68.89     65.96     52.00     44.26     37.88     50.98        --     48.33     71.11     22.67     72.73     43.86     38.33     42.86     47.37     67.39     72.09     68.18     55.10     60.42     24.53     85.71     70.45     45.00     44.90     57.45     52.73     40.00     46.55     62.22     58.00     43.33     48.21     52.00     38.10     53.57     49.09      0.00     56.25     59.18     80.95     70.45     83.33     50.00      8.33     51.67     52.00     52.00
        14     52.73     48.21     49.12     50.91     50.00     57.41     49.12     47.46     49.12     59.02     40.85     45.76     48.33        --     45.76     18.82     51.79     49.18     35.29     43.48     52.46     48.28     43.10     53.70     51.79     59.26     36.36     50.00     64.71     60.00     40.35     50.91     47.62     43.64     62.07     51.85     57.14     53.23     58.62     57.41     52.38     48.44     54.24      1.19     50.00     52.63     54.55     55.56     53.57     37.70      7.41     40.85     49.12     49.12
        15     56.52     51.06     58.70     65.12     52.94     65.91     69.77     78.57     58.70     49.12     35.38     57.45     71.11     45.76        --     25.35     69.77     51.92     35.59     40.32     52.83     94.74     73.17     73.17     55.32     51.02     26.00     63.04     63.64     50.00     51.11     65.12     58.82     42.55     41.38     59.09     49.02     48.21     42.86     52.08     35.48     56.60     54.90      1.39     53.19     59.57     78.05     67.44     76.19     50.00      8.70     37.50     58.70     58.70
        16     19.18     19.44     18.92     19.44     17.72     25.71     22.22     23.29     18.92     21.95     13.19     20.27     22.67     18.82     25.35        --     25.71     17.50     15.85     14.61     20.00     25.35     22.86     22.86     20.55     20.27      9.86     23.29     22.54     22.22     20.29     21.13     18.52     13.89     19.75     23.19     19.74     20.99     20.25     18.92     15.12     18.07     20.51      1.15     19.18     20.00     25.71     24.29     25.35     19.18      2.27     19.77     18.92     18.92
        17     51.06     48.94     56.52     55.56     45.28     75.61     71.43     68.18     56.52     44.83     35.94     55.32     72.73     51.79     69.77     25.71        --     44.44     33.90     38.71     50.94     65.91     70.73     70.73     50.00     52.08     24.00     64.44     73.17     43.10     48.89     59.09     56.86     40.43     42.11     68.29     50.00     49.09     43.64     50.00     31.75     51.85     50.00      0.00     57.78     51.02     89.47     77.50     82.50     44.90      7.25     40.32     56.52     56.52
        18     50.98     61.70     69.57     58.33     97.62     44.44     52.94     56.86     69.57     57.89     47.62     46.30     43.86     49.18     51.92     17.50     44.44        --     37.10     50.82     53.57     54.90     49.02     61.70     59.18     46.30     41.67     42.86     48.08     58.93     58.70     72.73     75.51     44.00     50.00     56.25     47.27     49.15     51.79     50.00     50.85     79.59     55.56      1.30     45.28     50.94     47.17     45.28     46.30     45.28      8.11     34.78     69.57     69.57
        19     34.48     30.51     29.51     30.51     37.70     33.90     38.60     35.00     29.51     37.88     34.29     42.86     38.33     35.29     35.59     15.85     33.90     37.10        --     34.78     45.00     33.33     42.59     35.09     43.64     33.33     30.19     35.00     34.48     38.46     37.04     32.76     38.10     30.36     33.33     38.18     32.26     41.27     34.38     33.90     38.46     39.06     44.07      0.00     32.20     39.66     33.90     34.48     35.59     32.20      3.85     34.29     29.51     29.51
        20     39.34     37.70     40.98     40.00     51.67     36.51     43.33     44.26     40.98     42.03     42.25     40.32     42.86     43.48     40.32     14.61     38.71     50.82     34.78        --     36.23     38.10     44.83     42.37     40.98     42.62     35.71     37.50     37.10     42.65     39.66     40.00     51.61     35.59     43.94     38.33     41.27     37.14     45.31     43.33     38.57     50.00     37.31      0.00     34.92     37.50     40.98     37.10     42.62     37.10      7.32     38.36     40.98     40.98
